code,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM
7611129,10.54,13.476,8.372,9.417,11.735,13.394,12.178,10,12.3,8.815,12.6
7611506,8.86,10.36,8.93,10.082,9.825,11.967,13.761,8.85,10.4,6.015,11.32
7615691,9.84,13.808,9.905,11.341,13.066,16.182,17.383,9.65,13.5,7.94,13.48
7618639,6.44,10.74,5.095,15.974,10.908,14.358,12.962,15.25,7.6,6.365,12.68
7618665,11.62,10.97,6.99,12.849,10.949,15.141,14.957,13.65,11.3,10.88,14.44
7618809,8.42,11.173,11.082,11.295,12.618,13.153,12.926,11.65,11,5.049,7.76
7619573,10.12,9.854,10.599,5.675,9.805,14.52,14.601,8.925,11.9,5,11.2
7619701,10.085,11.474,9.78,8.615,11.997,14.744,15.335,13.575,10.4,10.04,12.5
7619767,9,8.037,7.055,12.555,11.227,13.35,13.563,12.95,8.8,6.82,10.08
7626474,10.4,11.27,8.18,10.056,13.806,16.511,16.997,12.75,10.8,10.635,12.82
7626567,10.12,14.863,14.555,14.454,14.567,16.44,15.51,16.4,17.1,11.265,14.44
7626672,11.1,11.936,12.253,13.218,13.066,14.746,16.467,11.95,13.8,9.13,13.68
7626673,7.14,12.587,7.394,9.821,10.724,11.58,14.147,11.275,6.4,5.665,10
7626721,9.7,11.854,11.33,8.526,13.916,14.654,15.85,13.4,11.6,7.59,11.6
7626723,11.1,12.88,7.55,10.529,13.403,13.15,13.434,13.875,14.9,8.325,11.48
7626725,5.42,10.028,7.61,7.702,11.76,13.012,12.959,12.9,11.5,8.815,12.84
7626731,9,9.978,9.495,10.748,11.409,14.011,13.401,13.875,7.9,6.68,11.84
7626737,9.56,11.941,11.67,16.626,13.438,15.671,17.642,18.15,15.2,10.565,13.8
7626738,9.14,10.435,8.79,16.447,12.107,13.819,14.015,14.45,13.6,5.07,13.52
7626739,7,10.302,12.937,11.27,13.551,14.702,15.708,17.35,13.9,9.025,11.24
7626741,9.24,12.64,12.967,15.979,13.144,15.543,14.386,17.975,16.3,10.285,12.52
7626743,7.14,8.766,8.565,8.688,10.943,14.486,14.254,14.525,9,5.084,14.54
7626744,13.9,14.2,12.859,14.111,15.591,15.783,14.908,12.5,15.1,10.915,13.2
7626745,9.68,12.236,9.854,8.878,12.675,14.674,13.978,11.1,12.5,6.68,10.8
7626746,7.7,10.77,8.69,10.878,11.342,12.211,13.048,11.775,9.9,10.11,12.56
7626747,7.42,10.621,8.732,11.03,11.344,14.531,11.137,14.75,11.3,7.17,13.48
7626748,9.84,7.492,7.56,8.659,12.298,13.06,9.797,10.675,8.2,6.715,12.2
7626749,11.8,13.638,10.982,13.276,11.612,17.033,15.766,16.35,12.4,11.335,13.6
7626750,11.94,12.536,8.99,10.577,10.761,17.096,16.162,13.025,12.5,10.075,13.02
7626751,12.22,16.221,14.32,16.773,16.223,15.537,16.035,17.25,17.8,12.035,13.52
7626752,8.58,10.643,6.62,7.158,11.12,11.466,10.812,13.7,5.02,5.77,11.48
7626755,11.24,11.887,10.503,11.513,10.865,15.992,14.142,10.1,13.8,6.54,12.28
7626756,7.98,12.293,11.889,11.279,11.994,14.85,15.916,14.7,10.3,7.59,12.04
7626757,7.28,8.036,8.172,5.332,10.208,12.77,11.274,8.15,9.7,5.035,11.16
7626758,8.86,9.821,9.124,8.779,9.804,14.014,12.452,16.85,9,6.435,10.44
7626763,9.42,9.685,10.74,10.088,11.843,12.545,15.028,11.6,13.9,7.065,11.44
7626764,9,12.566,13.498,11.863,11.29,13.906,13.5,14.6,12.1,8.92,10.76
7626765,7.98,13.404,9.45,12.312,11.72,15.619,12.241,12.6,12.9,8.85,11.88
7626766,9,10.866,13.27,11.808,11.896,13.413,15.18,13.925,11,8.885,11.28
7626767,7.14,10.453,10.315,10.849,10.327,12.376,15.223,10.75,12.8,9.095,11.32
7626768,8.72,13.887,9.4,11.59,13.196,13.942,15.104,13.45,12.6,11.825,13.28
7626769,10.68,14.137,11.583,12.708,12.785,15.54,15.609,13.375,16.5,9.48,13.32
7626770,9.56,10.876,11.925,13.536,13.205,14.042,11.774,9.1,13.3,8.08,10.64
7626771,8.86,8.902,9.62,14.631,11.113,14.474,13.691,14.725,12.5,7.1,11.1
7626772,9.56,13.734,9.679,9.162,11.056,14.322,14.425,13.15,11.4,5.805,12.48
7626773,10.05,11.323,8.095,7.689,11.951,12.718,15.317,13.55,13,8.64,12.64
7626774,10.54,13.084,11.415,10.253,13.757,15.634,15.477,12.625,17.2,8.57,11.94
7626776,9.56,14.832,12.7,13.443,13.209,15.501,12.919,18.8,15.3,10.845,11.96
7626779,11.66,10.498,6.175,8.996,10.548,11.816,9.67,9.675,10.9,6.54,11.16
7626780,10.54,10.92,10.757,10.227,10.028,13.891,14.878,9.45,16.7,10.11,12.04
7626781,8.16,10.064,7.63,9.542,8.897,12.618,14.609,9.4,10.6,5.7,13.04
7626782,11.38,15.518,10.09,12.769,15.906,17.195,16.652,16.7,15.2,9.76,13.24
7626784,6.14,10.412,11.365,10.667,12.631,11.016,13.434,11.975,9.3,6.47,11.56
7626785,12.08,13.729,15.4,16.017,12.49,15.643,17.987,17.6,19.2,12.91,13.34
7626787,5.42,6.672,10.807,11.684,10.039,11.624,12.668,10.15,6.5,3.46,12.84
7626790,6.86,9.521,10.797,14.531,13.045,14.358,13.939,9.15,14.1,10.075,11.64
7626793,7.14,9.902,8.932,9.925,12.962,12.907,12.343,13.95,9.3,7.135,13.08
7626794,10.54,12.675,8.673,13.148,12.408,14.191,15.325,15.15,12.8,8.605,11.34
7626795,7.86,11.814,8.91,10,13.294,15.242,13.645,12.35,10.3,7.1,13.08
7626799,8.86,11.606,13.63,9.396,13.267,13.616,13.873,15.55,13.1,7.415,11.38
7626806,7.14,10.001,8.302,8.048,10.23,12.223,13.233,13.5,8.9,6.82,8.56
7626808,10.26,10.028,10.05,11.604,13.911,14.999,11.566,11.7,12.4,7.415,13.04
7626814,10.4,12.961,9.793,10.52,12.644,14.148,15.482,10.7,13.9,10.04,12.68
7626827,9,10.429,9.87,11.591,11.271,15.793,12.792,16,14.6,8.57,13.32
7626830,7,10.986,8.154,9.05,10.124,13.929,13.467,10.225,11.9,5.945,12.48
7626831,11.1,15.223,13.354,16.47,14.515,15.49,15.802,16.525,17.2,10.075,13.56
7626837,6.12,10.634,9.742,10.176,12.263,14.147,13.033,9.6,5.4,6.155,11.74
7626848,13.34,15.083,8.79,9.631,14.631,14.356,13.822,13.35,18.9,11.23,10.94
7626849,8.58,8.859,10.465,9.554,10.273,13.178,12.063,13.975,14.7,6.96,11.18
7626850,5.84,11.062,9.582,9.352,12.343,13.845,14.434,11.4,12.1,5.945,14.04
7626852,9.28,13.285,10.01,10.199,11.975,13.406,12.632,15.45,14.2,10.845,12.22
7626853,9.56,10.712,11.165,11.049,11.789,14.086,13.876,11.775,13.7,7.66,13.02
7626854,9.84,11.292,9.86,11.595,12.48,13.47,12.216,14,10.9,7.24,13
7626855,10.68,11.138,10.035,7.307,11.023,14.714,12.076,12.575,12.3,8.29,13.88
7626856,6.72,10.45,9.268,8.514,11.987,12.422,14.581,10.9,14.8,7.275,12.88
7626857,10.54,9.79,13.225,13.399,12.884,14.434,15.358,13.925,12.3,12.035,12.62
7626859,11.24,11.611,7.56,5.672,10.015,11.41,12.099,11.25,5.3,8.325,11.16
7626860,6.86,12.692,11.15,12.92,12.421,13.71,15.84,16.85,14.3,9.41,12.46
7626863,9.28,8.325,7.293,6.444,11.216,12.289,10.612,15,10,5.105,9.8
7626864,6.4,11.253,11.54,8.02,12.848,13.775,15.477,12.825,14.1,7.695,13.72
7626867,8.86,8.117,6.504,5.768,7.574,10.021,8.84,9.9,5.4,6.925,11.68
7626869,6.16,10.646,10.423,8.896,11.758,13.986,13.586,10.25,12.8,7.38,10.62
7626871,10.26,14.91,13.272,12.167,12.598,15.995,14.944,17.2,13.8,10.985,12.12
7626872,7.98,11.343,12.495,12.037,11.18,14.182,13.109,13.1,10.6,7.87,9.28
7626882,9.28,12.781,9.604,8.99,13.937,12.668,14.327,11.475,6.2,7.45,13.6
7626883,12.08,14.425,14.134,14.252,14.865,15.72,15.822,14.7,17.2,8.465,11.68
7626884,10.12,15.144,12.814,16.956,13.748,17.075,15.447,17.6,14.5,11.65,13.56
7626885,7,9.101,8.435,7.516,9.8,13.113,11.82,11.65,8.4,5.875,10.76
7626886,6.26,11.685,9.095,12.123,13.713,13.346,16.033,14.9,11.8,6.05,12.72
7626887,8.44,11.746,9.938,11.844,13.155,15.694,13.193,15.7,13.3,7.975,11.24
7626888,6.86,9.496,10.812,7.66,11.892,13.366,10.939,11.05,9.7,7.485,11.64
7626891,10.26,10.901,8.134,7.838,12.38,14.602,14.817,10.1,13.1,6.085,12.78
7626893,10.54,11.479,13.83,11.291,13.101,16.408,14.883,11.175,11.5,9.025,14.24
7626895,10.26,13.116,10.304,16.998,13.122,15.283,14.454,11.3,13.7,10.53,14.66
7626897,9.42,11.012,7.96,8.071,11.04,14.216,13.845,13.2,12.4,7.03,10.84
7626898,11.94,14.253,12.317,11.782,13.905,13.971,12.208,10.45,13.5,8.605,11.88
7626900,8.72,10.191,8.21,6.548,9.849,11.565,11.896,11.7,9.2,5.021,11.64
7626904,6.86,11.415,10.644,11.823,10.398,13.781,13.693,14.6,11.8,6.89,12.04
7626905,7.42,10.106,10.025,7.769,12.733,12.183,14.487,9.4,11.5,6.855,12.2
7626906,9.28,11.206,10.045,9.541,11.074,14.494,14.332,12.05,12.3,7.835,12.24
7626907,10.54,11.603,8.754,11.78,11.758,14.442,15.038,13.3,11.4,7.345,12.44
7626909,9.84,11.99,10.412,10.582,13.661,14.502,15.289,11.4,12,9.025,13.14
7626912,9.84,11.807,8.845,10.898,12.341,14.331,14.355,10.65,11.7,8.85,15.76
7626913,9.84,12.824,10.738,13.565,11.913,15.376,15.51,16.7,11.2,9.69,11.86
7626915,5.84,9.827,7.89,9.844,9.014,11.348,13.269,12.8,6.7,7.03,12.04
7626939,9.14,10.949,11.622,15.208,12.724,15.701,14.15,17.75,14.8,10.005,11.2
7626944,10.26,9.655,7.52,13.121,8.272,12.938,11.513,12.8,9,7.03,12.98
7626946,8.44,8.328,7.495,7.037,10.446,13.202,11.241,9.6,7.9,3.95,9.04
7626948,10.68,13.917,9.91,12.98,14.434,14.902,14.746,17.6,14.1,8.43,13.4
7626949,10.12,11.201,10.13,10.411,11.593,12.909,14.561,10.5,10.7,5.875,11.64
7626950,8.82,10.151,10.142,10.191,10.207,14.002,9.546,13.8,9.2,9.06,11.88
7626954,9.14,10.888,8.83,8.383,11.747,11.852,10.602,10.15,12.3,5.525,12.42
7626957,8.58,12.95,9.059,11.284,10.529,14.13,13.061,11.975,12.8,6.715,12.52
7626959,6.86,10.793,8.949,5.341,12.193,10.87,14.091,13.575,11.3,7.135,11.52
7626962,11.94,14.563,12.702,14.272,12.788,16.776,15.023,15.375,14.6,10.39,12.84
7626963,7.84,11.569,9.217,11.846,11.524,16.721,14.094,14.75,13.4,8.605,13.8
7626964,8,8.558,9.15,11.454,13.443,15.268,14.269,10.85,12.9,6.015,12.64
7626965,8.72,13.572,12.717,10.834,12.312,16.153,16.071,14.075,11.8,9.2,12.28
7626966,9.7,10.98,7.325,8.161,10.155,11.214,14.37,13.7,8.9,6.225,13.2
7626968,9.42,9.716,8.415,8.782,10.004,12.8,10.29,10.125,10.4,5.021,13.4
7626973,10.82,10.301,7.225,6.719,10.773,11.284,11.028,10.6,10.8,5.245,12.38
7626975,7,10.34,7.199,8.945,10.05,12.038,14.294,9.9,8,6.96,12.84
7626977,8.86,12.04,8.24,13.577,12.627,14.353,15.106,14.35,14.3,7.345,11.76
7626978,8.86,11.269,8.22,8.525,10.619,12.994,14.505,13,10,5.091,11.88
7626979,11.38,14.18,11.37,9.586,11.971,15.3,13.406,15.125,12.7,7.66,13.2
7626982,5.84,8.154,5.52,8.432,10.906,11.597,13.774,7.2,8.6,5.385,13.14
7626983,10.12,9.65,8.095,10.718,14.015,15.67,14.297,13.95,12.3,6.68,12.36
7626985,9.7,12.908,11.17,11.837,13.553,13.702,14.094,13.4,13.7,10.215,11.16
7626986,10.26,9.713,11.55,6.705,11.951,14.246,15.335,12.95,12.3,5.014,12.08
7626988,9.56,9.505,10.18,10.783,12.025,14.32,12.607,16.55,14.1,10.005,12.08
7626990,9.56,12.567,9,7.959,12.883,14.93,14.38,15.3,15.2,8.5,12.6
7626993,10.26,14.62,12.64,16.085,13.997,15.77,15.959,16.875,11.2,11.265,12.72
7626994,8.7,9.383,8.952,7.707,10.341,13.567,12.094,9.7,9.2,7.17,12.38
7626996,9.84,10.05,7.662,7.619,10.201,14.948,14.043,13.55,7.6,5.525,13.68
7626997,9,11.843,10.763,10.483,11.869,13.628,12.868,14,12.8,8.395,11.52
7626998,7.56,12.777,12.405,14.664,13.609,15.006,13.848,16.275,14.1,9.27,13.2
7626999,8.02,10.026,9.13,10.704,9.448,13.733,11.521,12.65,8.5,3.985,13.24
7628582,9.28,13.29,10.94,9.81,11.953,13.488,14.183,10.85,12.8,6.085,12.18
7634129,8.44,10.061,6.525,10.346,9.666,13.154,11.272,12.375,6.8,5.098,11.96
7634131,12.92,12.284,9.19,10.724,11.384,16.274,11.762,16.5,13.8,10.845,12.52
7634688,5.56,7.052,10.31,10.414,9.479,11.84,12.104,13.55,11.2,5.385,6.24
7634734,12.64,9.856,10.225,9.865,13.399,13.745,13.31,10.05,11.4,8.185,13.32
7634749,9.42,10.529,10.478,8.725,12.177,14.714,12,13.525,9.7,7.73,12.52
7635752,10.82,11.824,7.39,5.15,13.356,11.722,8.584,9,11.6,6.75,8.34
7635756,10.96,10.257,6.92,6.779,10.674,12.954,11.251,9.65,10.6,5.245,11.6
7637278,5.84,10.45,7.562,8.409,9.937,13.759,14.401,9.85,13.2,8.92,10.72
7637352,9.56,12.992,11.618,13.684,12.709,14.551,15.193,17.35,14,11.125,13.64
7637356,9.84,11.482,10.84,9.022,12.362,16.29,11.792,9.4,13,6.855,14
7637566,7.14,13.744,10.344,12.469,10.95,14.173,15.599,14.3,13.1,7.03,13.08
7637567,10.82,13.242,13.565,9.536,12.337,16.714,14.35,11.8,18.8,5.665,12.84
7639383,9.84,13.511,9.02,10.245,11.778,13.802,14.495,14.3,13.2,8.08,12.84
7640610,9.42,9.504,12.848,16.811,11.141,13.514,12.258,13.425,8.2,6.61,12.54
